feature,min,max
SlogP_VSA3,0.46000000834465027,4.070000171661377
fr_nitro,0.0,1760740.625
AUTOCORR2D_104,0.020879998803138733,148500.0
AUTOCORR2D_170,0.0,4.789999961853027
fr_phos_ester,0.0,4.639999866485596
AUTOCORR2D_68,-1.600000023841858,1.5
SMR_VSA5,-1.5,3.0
FpDensityMorgan1,-1.4299999475479126,3.440000057220459
fr_alkyl_halide,-1.2799999713897705,1.4900000095367432
fr_amidine,-1.2699999809265137,4.25
fr_sulfonamd,-1.1799999475479126,1.0
price_usd_g,-1.4700000286102295,1.0
AUTOCORR2D_81,-1.6299999952316284,1.0800000429153442
NumRadicalElectrons,-2.059999942779541,1.5
fr_halogen,-2.609999895095825,3.0
AUTOCORR2D_188,0.0,4.760000228881836
AUTOCORR2D_46,-1.7200000286102295,2.569999933242798
fr_COO,-1.1799999475479126,1.2799999713897705
AUTOCORR2D_178,-2.2300000190734863,2.7899999618530273
AUTOCORR2D_119,-1.1100000143051147,1.0
fr_benzene,-1.0,1.0
AUTOCORR2D_47,-1.3600000143051147,1.0800000429153442
AUTOCORR2D_73,-1.600000023841858,1.7100000381469727
BCUT2D_CHGLO,-1.5,3.0
NumHeteroatoms,-1.2999999523162842,2.5
AUTOCORR2D_181,-1.440000057220459,1.2599999904632568
fr_aniline,0.0,4.699999809265137
AUTOCORR2D_42,-1.2599999904632568,4.300000190734863
epsi,-1.1699999570846558,1.0
SlogP_VSA12,-1.5,1.0
MaxAbsPartialCharge,-1.7200000286102295,1.0800000429153442
PEOE_VSA2,-2.380000114440918,1.5
fr_dihydropyridine,-2.9000000953674316,3.0
AUTOCORR2D_74,-2.0399999618530273,2.5
AUTOCORR2D_103,-1.2999999523162842,1.3300000429153442
AUTOCORR2D_189,-2.609999895095825,3.440000057220459
SlogP_VSA5,-1.149999976158142,1.0
AUTOCORR2D_187,0.0,4.699999809265137
AUTOCORR2D_99,-1.3799999952316284,1.0
EState_VSA8,-1.4700000286102295,1.1799999475479126
AUTOCORR2D_150,-1.059999942779541,1.5
HallKierAlpha,-1.190000057220459,3.0
fr_thiocyan,-1.2400000095367432,4.0
VSA_EState1,-1.0299999713897705,1.2999999523162842
FractionCSP3,-1.2999999523162842,1.8600000143051147
SlogP_VSA7,-1.0399999618530273,1.0
AUTOCORR2D_183,-1.5,1.0
fr_Ar_N,-2.0,1.0
SMR_VSA3,0.0,4.75
AUTOCORR2D_82,-2.5,2.259999990463257
NumValenceElectrons,-2.0299999713897705,2.240000009536743
AUTOCORR2D_10,-2.869999885559082,2.390000104904175
PEOE_VSA14,-2.049999952316284,1.409999966621399
AUTOCORR2D_101,-1.8300000429153442,4.070000171661377
AUTOCORR2D_3,0.0,3.4100000858306885
fr_Ndealkylation2,0.0,2.2300000190734863
AUTOCORR2D_148,0.0,3.200000047683716
NumAromaticCarbocycles,0.0,3.5
AUTOCORR2D_96,0.0,4.5
AUTOCORR2D_141,0.0,4.849999904632568
AUTOCORR2D_70,0.0,5.5
NumHDonors,0.0,7.039999961853027
fr_imide,0.0,6.5
BCUT2D_MWHI,0.0,2.940000057220459
SlogP_VSA2,0.0,2.0199999809265137
fr_sulfone,0.0,2.880000114440918
NumAromaticHeterocycles,0.0,3.559999942779541
AUTOCORR2D_102,0.0,6.0
VSA_EState2,0.0,5.5
fr_prisulfonamd,0.0,4.329999923706055
AUTOCORR2D_80,0.0,4.809999942779541
AUTOCORR2D_52,0.0,6.5
TPSA,0.0,2.5
AUTOCORR2D_185,0.0,1.7999999523162842
AUTOCORR2D_151,0.0,2.509999990463257
AUTOCORR2D_63,0.0,3.5
AUTOCORR2D_84,0.0,4.5
AUTOCORR2D_89,0.0,5.5
AUTOCORR2D_124,0.0,4.329999923706055
fr_Imine,0.0,6.5
NumAliphaticHeterocycles,0.0,2.9800000190734863
AUTOCORR2D_113,0.0,4.340000152587891
AUTOCORR2D_33,0.0,2.130000114440918
fr_morpholine,0.0,2.950000047683716
AUTOCORR2D_125,0.0,3.880000114440918
AUTOCORR2D_133,0.0,5.980000019073486
MolMR,0.0,5.5
AUTOCORR2D_138,0.0,4.329999923706055
AUTOCORR2D_37,0.0,6.5
AUTOCORR2D_121,0.0,2.5
AUTOCORR2D_36,0.0,1.8799999952316284
MolWt,0.0,2.5
AUTOCORR2D_127,0.0,4.789999961853027
AUTOCORR2D_62,0.0,3.5
AUTOCORR2D_16,0.0,4.5
SlogP_VSA4,0.0,5.5
AUTOCORR2D_190,0.0,4.329999923706055
fr_C_S,0.0,6.5
AUTOCORR2D_145,0.0,2.5
fr_term_acetylene,0.0,2.25
AUTOCORR2D_134,0.0,3.430000066757202
fr_phenol_noOrthoHbond,0.0,4.0
AUTOCORR2D_163,0.0,4.71999979019165
AUTOCORR2D_6,0.0,4.960000038146973
NumAliphaticRings,0.0,5.820000171661377
fr_Nhpyrrole,0.0,4.039999961853027
AUTOCORR2D_25,0.0,3.5399999618530273
fr_guanido,0.0,5.03000020980835
fr_benzodiazepine,0.0,4.980000019073486
AUTOCORR2D_177,0.0,4.96999979019165
MaxEStateIndex,0.0,4.949999809265137
AUTOCORR2D_32,0.0,5.079999923706055
AUTOCORR2D_88,0.0,5.079999923706055
AUTOCORR2D_129,0.0,4.46999979019165
EState_VSA9,0.0,4.760000228881836
AUTOCORR2D_97,0.0,5.059999942779541
AUTOCORR2D_93,0.0,4.920000076293945
PEOE_VSA9,0.0,4.880000114440918
AUTOCORR2D_28,0.0,6.289999961853027
SMR_VSA9,0.0,4.860000133514404
AUTOCORR2D_90,0.0,4.730000019073486
SMR_VSA2,0.0,4.690000057220459
NumHAcceptors,0.0,4.300000190734863
AUTOCORR2D_44,0.0,4.739999771118164
AUTOCORR2D_142,0.0,4.900000095367432
fr_Ar_COO,0.0,4.929999828338623
fr_thiophene,0.0,4.920000076293945
AUTOCORR2D_156,0.0,4.909999847412109
VSA_EState10,0.0,5.039999961853027
AUTOCORR2D_143,0.0,6.199999809265137
Chi3v,0.0,5.03000020980835
AUTOCORR2D_112,0.0,6.21999979019165
AUTOCORR2D_108,0.0,7.039999961853027
AUTOCORR2D_137,0.0,7.679999828338623
AUTOCORR2D_146,0.0,7.53000020980835
NumSaturatedHeterocycles,0.0,7.360000133514404
AUTOCORR2D_109,0.0,7.150000095367432
AUTOCORR2D_107,0.0,6.889999866485596
AUTOCORR2D_65,0.0,7.420000076293945
gva,0.0,162.5500030517578
fr_Ar_NH,0.0,5.659999847412109
Chi3n,0.0,257.8800048828125
AUTOCORR2D_100,0.0,347.70001220703125
NumRotatableBonds,0.0,277.7099914550781
AUTOCORR2D_77,0.0,209.5500030517578
AUTOCORR2D_106,0.0,230.88999938964844
AUTOCORR2D_173,0.0,231.19000244140625
BCUT2D_LOGPHI,0.0,149.9499969482422
fr_diazo,0.0,2.890000104904175
PEOE_VSA11,0.0,3.680000066757202
PEOE_VSA4,0.0,2.880000114440918
AUTOCORR2D_35,0.0,5.860000133514404
AUTOCORR2D_41,0.0,4.269999980926514
AUTOCORR2D_128,0.0,2.380000114440918
AUTOCORR2D_57,0.0,1.090000033378601
FpDensityMorgan2,0.0,2.049999952316284
AUTOCORR2D_66,0.0,2.5
Chi0n,0.0,1.3899999856948853
AUTOCORR2D_13,0.0,2.049999952316284
fr_aryl_methyl,0.0,2.2100000381469727
AUTOCORR2D_160,0.0,1.840000033378601
AUTOCORR2D_45,0.0,1.600000023841858
EState_VSA5,0.0,6.139999866485596
AUTOCORR2D_39,0.0,1.440000057220459
fr_ketone_Topliss,0.0,1.6200000047683716
MaxAbsEStateIndex,0.0,2.5399999618530273
SlogP_VSA1,0.0,140.57000732421875
AUTOCORR2D_169,0.0,205.6300048828125
AUTOCORR2D_4,0.0,166.4499969482422
AUTOCORR2D_24,0.0,192.69000244140625
AUTOCORR2D_94,0.0,91.3499984741211
RingCount,0.0,64.62000274658203
EState_VSA11,0.0,79.11000061035156
AUTOCORR2D_85,0.0,6.010000228881836
AUTOCORR2D_27,0.0,89.91000366210938
AUTOCORR2D_50,0.0,2.0399999618530273
EState_VSA7,0.0,3.069999933242798
SlogP_VSA9,0.0,3.369999885559082
Chi2v,0.0,2.8299999237060547
AUTOCORR2D_105,0.0,2.2899999618530273
VSA_EState4,0.0,1.75
AUTOCORR2D_159,0.0,1.2200000286102295
VSA_EState8,0.0,1.409999966621399
Kappa2,0.0,307.6099853515625
AUTOCORR2D_15,0.0,4.300000190734863
PEOE_VSA5,0.0,451.4700012207031
AUTOCORR2D_176,0.0,483.8800048828125
fr_lactone,0.0,404.0799865722656
fr_Al_OH_noTert,0.0,324.2799987792969
AUTOCORR2D_98,0.0,376.8399963378906
AUTOCORR2D_30,0.0,410.6400146484375
fr_nitro_arom,0.0,455.30999755859375
fr_COO2,-1.559999942779541,1.0
fr_alkyl_carbamate,-1.0,1.0
AUTOCORR2D_21,-1.3600000143051147,1.0800000429153442
fr_hdrzine,-1.0,2.940000057220459
SlogP_VSA8,-2.640000104904175,0.1899999976158142
AUTOCORR2D_72,-3.0,2.809999942779541
fr_phenol,-3.0,0.8600000143051147
AUTOCORR2D_166,0.0,14.119999885559082
AUTOCORR2D_161,-1.2699999809265137,7.590000152587891
AUTOCORR2D_76,1.0099999904632568,126.91000366210938
VSA_EState6,1.0099999904632568,79.9000015258789
FpDensityMorgan3,0.0,6.550000190734863
MolLogP,0.0,3116.050048828125
AUTOCORR2D_110,0.0,45.06999969482422
AUTOCORR2D_115,0.0,40.970001220703125
AUTOCORR2D_172,0.0,46.68000030517578
SMR_VSA4,0.0,29.5
fr_HOCCN,0.0,23.209999084472656
MinPartialCharge,0.0,35.31999969482422
PEOE_VSA12,0.0,22.059999465942383
PEOE_VSA8,0.0,36.68000030517578
AUTOCORR2D_8,0.0,15.859999656677246
AUTOCORR2D_144,0.0,37.18000030517578
fr_epoxide,0.0,12.779999732971191
Chi4v,0.0,37.119998931884766
AUTOCORR2D_123,0.0,116.56999969482422
AUTOCORR2D_19,0.0,75.04000091552734
NumAliphaticCarbocycles,0.0,0.0
fr_C_O,0.0,185.63999938964844
AUTOCORR2D_157,0.0,118.91999816894531
SlogP_VSA6,0.0,68.68000030517578
Kappa3,0.0,105.69999694824219
AUTOCORR2D_61,0.0,72.80000305175781
Chi4n,0.0,86.5199966430664
AUTOCORR2D_136,0.0,265.0799865722656
fr_Al_OH,0.0,92.80999755859375
AUTOCORR2D_23,2.0199999809265137,1089.800048828125
AUTOCORR2D_171,0.2199999988079071,2.0
AUTOCORR2D_118,0.33000001311302185,2.5999999046325684
EState_VSA1,0.36000001430511475,3.4000000953674316
fr_ArN,0.0,1.0
PEOE_VSA3,-4.699999809265137,3.0399999618530273
AUTOCORR2D_179,0.0,64.0
AUTOCORR2D_1,0.0,1071.699951171875
MinAbsPartialCharge,0.0,30670300643328.0
VSA_EState3,0.0,97.25
AUTOCORR2D_152,-27.040000915527344,3398.800048828125
AUTOCORR2D_122,-104.04000091552734,9507.9599609375
AUTOCORR2D_131,2.8499999046325684,472.0799865722656
AUTOCORR2D_117,0.0,14.350000381469727
AUTOCORR2D_180,0.0,3.0
SMR_VSA8,0.0,14.350000381469727
fr_furan,-2.0,3.0
fr_Al_COO,0.0,6.059999942779541
fr_hdrzone,0.0,2.0
AUTOCORR2D_55,-8.529999732971191,4.5
fr_quatN,-2.0,2.0
fr_SH,-12.579999923706055,16.709999084472656
EState_VSA4,0.0,277.8399963378906
LabuteASA,2.0199999809265137,1091.8599853515625
SMR_VSA6,0.0,8.0
fr_lactam,0.0,22.0
fr_imidazole,0.0,4.0
fr_piperzine,0.0,6.0
BCUT2D_LOGPLOW,0.0,8.0
AUTOCORR2D_51,0.0,6.0
Chi1v,0.0,2.0
AUTOCORR2D_139,0.0,6.0
fr_bicyclic,0.0,22.0
AUTOCORR2D_54,0.0,6.0
VSA_EState5,0.0,32.0
AUTOCORR2D_191,0.0,4.4
AUTOCORR2D_9,0.0,38.0
fr_ester,0.0,4.0
AUTOCORR2D_56,0.0,4.0
VSA_EState9,0.0,7.0
AUTOCORR2D_69,2.0,348.0
AUTOCORR2D_162,0.0,89.23999786376953
fr_N_O,0.0,74.72000122070312
Chi1n,0.0,24.790000915527344
AUTOCORR2D_165,0.0,20.40999984741211
fr_aldehyde,0.0,30.350000381469727
fr_unbrch_alkane,0.0,397.0899963378906
AUTOCORR2D_91,0.0,30.34000015258789
AUTOCORR2D_53,0.0,33.66999816894531
fr_nitrile,0.0,70.25
AUTOCORR2D_135,0.0,69.61000061035156
AUTOCORR2D_75,0.0,106.01000213623047
SMR_VSA1,0.0,159.3000030517578
AUTOCORR2D_158,0.0,61.84000015258789
fr_isocyan,0.0,112.31999969482422
AUTOCORR2D_67,0.0,8.0
AUTOCORR2D_147,0.0,224.6699981689453
AUTOCORR2D_2,0.0,159.3000030517578
AUTOCORR2D_59,0.0,10.520000457763672
fr_azo,0.0,24.989999771118164
fr_methoxy,0.0,34.5
BCUT2D_MRLOW,0.0,197.17999267578125
AUTOCORR2D_114,0.0,125.72000122070312
VSA_EState7,0.0,215.3699951171875
SMR_VSA10,0.0,0.0
AUTOCORR2D_186,0.0,34.119998931884766
fr_para_hydroxylation,0.0,129.6999969482422
AUTOCORR2D_12,0.0,70.25
fr_piperdine,0.0,28.75
fr_NH1,0.0,159.3000030517578
fr_C_O_noCOO,0.0,139.3300018310547
AUTOCORR2D_95,0.0,74.61000061035156
AUTOCORR2D_34,0.0,55.529998779296875
AUTOCORR2D_140,0.0,116.70999908447266
AUTOCORR2D_154,0.0,181.99000549316406
NHOHCount,0.0,40.18000030517578
PEOE_VSA1,0.0,54.56999969482422
fr_isothiocyan,0.0,0.0
fr_azide,0.0,411.20001220703125
fr_phos_acid,-3.700000047683716,197.5
AUTOCORR2D_5,-6.059999942779541,51.0099983215332
MinAbsEStateIndex,-8.329999923706055,71.6500015258789
BCUT2D_MWLOW,-9.319999694824219,56.220001220703125
HeavyAtomMolWt,-4.53000020980835,20.030000686645508
AUTOCORR2D_31,-49.09000015258789,8.0
EState_VSA2,-4.78000020980835,67.06999969482422
SlogP_VSA11,-7.71999979019165,23.469999313354492
SMR_VSA7,-5.449999809265137,29.59000015258789
AUTOCORR2D_58,-21.059999465942383,20.059999465942383
AUTOCORR2D_130,0.0,3.0
Chi0v,0.0,5.0
fr_Ndealkylation1,0.0,5.0
AUTOCORR2D_17,0.0,3.0
AUTOCORR2D_11,0.0,2.0
AUTOCORR2D_20,0.0,4.0
PEOE_VSA6,0.0,2.0
AUTOCORR2D_167,0.0,4.0
Chi1,0.0,3.0
AUTOCORR2D_155,0.0,3.0
fr_NH2,0.0,5.0
AUTOCORR2D_174,0.0,5.0
fr_NH0,0.0,3.0
AUTOCORR2D_60,0.0,0.0
AUTOCORR2D_116,0.0,2.0
AUTOCORR2D_168,0.0,6.0
fr_pyridine,0.0,4.0
Chi2n,0.0,3.0
AUTOCORR2D_14,0.0,2.0
fr_amide,0.0,1.0
AUTOCORR2D_175,0.0,1.0
fr_barbitur,0.0,2.0
PEOE_VSA13,0.0,2.0
fr_ketone,0.0,2.0
AUTOCORR2D_132,0.0,2.0
fr_thiazole,0.0,15.0
AUTOCORR2D_29,0.0,9.0
AUTOCORR2D_120,0.0,4.0
ExactMolWt,0.0,0.0
AUTOCORR2D_192,0.0,3.0
AUTOCORR2D_83,0.0,3.0
BalabanJ,0.0,0.0
AUTOCORR2D_182,0.0,3.0
NumSaturatedCarbocycles,0.0,1.0
fr_nitroso,0.0,6.0
fr_sulfide,0.0,0.0
SlogP_VSA10,0.0,9.0
AUTOCORR2D_87,0.0,0.0
AUTOCORR2D_86,0.0,0.0
AUTOCORR2D_111,0.0,2.0
BertzCT,0.0,2.0
NumAromaticRings,0.0,10.0
Kappa1,0.0,1.0
MinEStateIndex,0.0,1.0
AUTOCORR2D_149,0.0,16.0
MaxPartialCharge,0.0,1.0
EState_VSA3,0.0,1.0
fr_allylic_oxid,0.0,1.0
AUTOCORR2D_26,0.0,2.0
EState_VSA6,0.0,2.0
AUTOCORR2D_38,0.0,1.0
HeavyAtomCount,0.0,2.0
AUTOCORR2D_92,0.0,2.0
AUTOCORR2D_64,0.0,0.0
AUTOCORR2D_43,0.0,2.0
EState_VSA10,0.0,3.0
fr_oxime,0.0,0.0
PEOE_VSA10,0.0,2.0
fr_nitro_arom_nonortho,0.0,3.0
PEOE_VSA7,0.0,3.0
Ipc,0.0,2.0
fr_oxazole,0.0,1.0
fr_Ar_OH,0.0,0.0
BCUT2D_CHGHI,0.0,2.0
fr_priamide,0.0,2.0
AUTOCORR2D_49,0.0,4.0
NOCount,0.0,4.0
Chi0,0.0,1.0
AUTOCORR2D_184,0.0,1.0
NumSaturatedRings,0.0,2.1
AUTOCORR2D_48,0.0,1.0
AUTOCORR2D_79,0.0,1.0
AUTOCORR2D_153,0.0,0.0
AUTOCORR2D_78,0.0,2.0
AUTOCORR2D_164,0.0,1.0
BCUT2D_MRHI,0.0,2.0
fr_ether,0.0,2.0
fr_tetrazole,0.0,2.0
qed,0.0,1.0
AUTOCORR2D_40,0.0,0.0
AUTOCORR2D_126,0.0,1.0
fr_urea,0.0,1.0
AUTOCORR2D_7,0.0,0.0
AUTOCORR2D_71,0.0,32.0
AUTOCORR2D_22,0.0,1.0
AUTOCORR2D_18,0.029999999329447746,0.9300000071525574
